DATE,GAME_ID,TEAM_A,TEAM_A_ID,TEAM_A_SCORE,TEAM_B,TEAM_B_ID,TEAM_B_SCORE,TEAM_A_POINTS,TEAM_B_POINTS
22/10/2019,21900001,NOP,10,64.01541799635001,TOR,26,73.80696635550319,122,130
22/10/2019,21900002,LAL,27,82.80526052679225,LAC,21,77.63737654160774,102,112
23/10/2019,21900003,CHI,11,73.89649615338385,CHA,17,72.33178577833694,125,126
23/10/2019,21900004,DET,23,73.04395749103556,IND,22,74.11715550732261,119,110
23/10/2019,21900005,CLE,14,74.99837008852089,ORL,30,67.97746133386337,85,94
23/10/2019,21900006,MIN,19,73.8313778938815,BKN,16,74.28787448526155,127,126
23/10/2019,21900007,MEM,24,76.88531242671819,MIA,25,79.33189962393347,101,120
23/10/2019,21900008,BOS,9,80.30305223970615,PHI,15,71.08515443175374,93,107
23/10/2019,21900009,WAS,4,72.563368779047,DAL,5,69.96559522091194,100,108
23/10/2019,21900010,NYK,8,66.01210684639145,SAS,20,73.60057038007066,111,120
23/10/2019,21900011,OKC,29,68.15407604998519,UTA,18,75.41477963510411,95,100
23/10/2019,21900012,SAC,13,79.2718914478331,PHX,7,73.10777751310908,95,124
23/10/2019,21900013,DEN,3,66.69289636052375,POR,2,77.22528492784927,108,100
24/10/2019,21900014,ATL,12,74.17567747459759,DET,23,73.04395749103556,117,100
24/10/2019,21900015,MIL,6,73.42037428265223,HOU,28,67.11216297865707,117,111
24/10/2019,21900016,LAC,21,77.63737654160774,GSW,1,85.10087095120355,141,122
25/10/2019,21900017,TOR,26,73.80696635550319,BOS,9,80.30305223970615,106,112
25/10/2019,21900018,MIN,19,73.8313778938815,CHA,17,72.33178577833694,121,99
25/10/2019,21900019,NYK,8,66.01210684639145,BKN,16,74.28787448526155,109,113
25/10/2019,21900020,CHI,11,73.89649615338385,MEM,24,76.88531242671819,110,102
25/10/2019,21900021,DAL,5,69.96559522091194,NOP,10,64.01541799635001,123,116
25/10/2019,21900022,WAS,4,72.563368779047,OKC,29,68.15407604998519,97,85
25/10/2019,21900023,PHX,7,73.10777751310908,DEN,3,66.69289636052375,107,108
25/10/2019,21900024,POR,2,77.22528492784927,SAC,13,79.2718914478331,122,112
25/10/2019,21900025,UTA,18,75.41477963510411,LAL,27,82.80526052679225,86,95
26/10/2019,21900026,MIA,25,79.33189962393347,MIL,6,73.42037428265223,131,126
26/10/2019,21900027,PHI,15,71.08515443175374,DET,23,73.04395749103556,117,111
26/10/2019,21900028,ORL,30,67.97746133386337,ATL,12,74.17567747459759,99,103
26/10/2019,21900029,BOS,9,80.30305223970615,NYK,8,66.01210684639145,118,95
26/10/2019,21900030,IND,22,74.11715550732261,CLE,14,74.99837008852089,99,110
26/10/2019,21900031,TOR,26,73.80696635550319,CHI,11,73.89649615338385,108,84
26/10/2019,21900032,NOP,10,64.01541799635001,HOU,28,67.11216297865707,123,126
26/10/2019,21900033,WAS,4,72.563368779047,SAS,20,73.60057038007066,122,124
26/10/2019,21900034,SAC,13,79.2718914478331,UTA,18,75.41477963510411,81,113
26/10/2019,21900035,LAC,21,77.63737654160774,PHX,7,73.10777751310908,122,130
27/10/2019,21900036,GSW,1,85.10087095120355,OKC,29,68.15407604998519,92,120
27/10/2019,21900037,BKN,16,74.28787448526155,MEM,24,76.88531242671819,133,134
27/10/2019,21900038,POR,2,77.22528492784927,DAL,5,69.96559522091194,121,119
27/10/2019,21900039,MIA,25,79.33189962393347,MIN,19,73.8313778938815,109,116
27/10/2019,21900040,CHA,17,72.33178577833694,LAL,27,82.80526052679225,101,120
28/10/2019,21900041,IND,22,74.11715550732261,DET,23,73.04395749103556,94,96
28/10/2019,21900042,CHI,11,73.89649615338385,NYK,8,66.01210684639145,98,105
28/10/2019,21900043,PHI,15,71.08515443175374,ATL,12,74.17567747459759,105,103
28/10/2019,21900044,ORL,30,67.97746133386337,TOR,26,73.80696635550319,95,104
28/10/2019,21900045,OKC,29,68.15407604998519,HOU,28,67.11216297865707,112,116
28/10/2019,21900046,CLE,14,74.99837008852089,MIL,6,73.42037428265223,112,129
28/10/2019,21900047,GSW,1,85.10087095120355,NOP,10,64.01541799635001,134,123
28/10/2019,21900048,POR,2,77.22528492784927,SAS,20,73.60057038007066,110,113
28/10/2019,21900049,UTA,18,75.41477963510411,PHX,7,73.10777751310908,96,95
28/10/2019,21900050,DEN,3,66.69289636052375,SAC,13,79.2718914478331,101,94
28/10/2019,21900051,CHA,17,72.33178577833694,LAC,21,77.63737654160774,96,111
29/10/2019,21900052,ATL,12,74.17567747459759,MIA,25,79.33189962393347,97,112
29/10/2019,21900053,DAL,5,69.96559522091194,DEN,3,66.69289636052375,109,106
29/10/2019,21900054,MEM,24,76.88531242671819,LAL,27,82.80526052679225,91,120
30/10/2019,21900055,CHI,11,73.89649615338385,CLE,14,74.99837008852089,111,117
30/10/2019,21900056,NYK,8,66.01210684639145,ORL,30,67.97746133386337,83,95
30/10/2019,21900057,MIN,19,73.8313778938815,PHI,15,71.08515443175374,95,117
30/10/2019,21900058,MIL,6,73.42037428265223,BOS,9,80.30305223970615,105,116
30/10/2019,21900059,IND,22,74.11715550732261,BKN,16,74.28787448526155,118,108
30/10/2019,21900060,DET,23,73.04395749103556,TOR,26,73.80696635550319,113,125
30/10/2019,21900061,HOU,28,67.11216297865707,WAS,4,72.563368779047,159,158
30/10/2019,21900062,POR,2,77.22528492784927,OKC,29,68.15407604998519,102,99
30/10/2019,21900063,LAC,21,77.63737654160774,UTA,18,75.41477963510411,96,110
30/10/2019,21900064,CHA,17,72.33178577833694,SAC,13,79.2718914478331,118,111
30/10/2019,21900065,PHX,7,73.10777751310908,GSW,1,85.10087095120355,121,110
31/10/2019,21900066,MIA,25,79.33189962393347,ATL,12,74.17567747459759,106,97
31/10/2019,21900067,DEN,3,66.69289636052375,NOP,10,64.01541799635001,107,122
31/10/2019,21900068,SAS,20,73.60057038007066,LAC,21,77.63737654160774,97,103
01/11/2019,21900069,HOU,28,67.11216297865707,BKN,16,74.28787448526155,116,123
01/11/2019,21900070,CLE,14,74.99837008852089,IND,22,74.11715550732261,95,102
01/11/2019,21900071,MIL,6,73.42037428265223,ORL,30,67.97746133386337,123,91
01/11/2019,21900072,NYK,8,66.01210684639145,BOS,9,80.30305223970615,102,104
01/11/2019,21900073,DET,23,73.04395749103556,CHI,11,73.89649615338385,106,112
01/11/2019,21900074,LAL,27,82.80526052679225,DAL,5,69.96559522091194,119,110
01/11/2019,21900075,UTA,18,75.41477963510411,SAC,13,79.2718914478331,101,102
01/11/2019,21900076,SAS,20,73.60057038007066,GSW,1,85.10087095120355,127,110
02/11/2019,21900077,NOP,10,64.01541799635001,OKC,29,68.15407604998519,104,115
02/11/2019,21900078,BKN,16,74.28787448526155,DET,23,73.04395749103556,109,113
02/11/2019,21900079,DEN,3,66.69289636052375,ORL,30,67.97746133386337,91,87
02/11/2019,21900080,MIN,19,73.8313778938815,WAS,4,72.563368779047,131,109
02/11/2019,21900081,PHX,7,73.10777751310908,MEM,24,76.88531242671819,114,105
02/11/2019,21900082,TOR,26,73.80696635550319,MIL,6,73.42037428265223,105,115
02/11/2019,21900083,CHA,17,72.33178577833694,GSW,1,85.10087095120355,93,87
02/11/2019,21900084,PHI,15,71.08515443175374,POR,2,77.22528492784927,129,128
03/11/2019,21900085,CHI,11,73.89649615338385,IND,22,74.11715550732261,95,108
03/11/2019,21900086,HOU,28,67.11216297865707,MIA,25,79.33189962393347,100,129
03/11/2019,21900087,SAC,13,79.2718914478331,NYK,8,66.01210684639145,113,92
03/11/2019,21900088,LAL,27,82.80526052679225,SAS,20,73.60057038007066,103,96
03/11/2019,21900089,DAL,5,69.96559522091194,CLE,14,74.99837008852089,131,111
03/11/2019,21900090,UTA,18,75.41477963510411,LAC,21,77.63737654160774,94,105
04/11/2019,21900091,DET,23,73.04395749103556,WAS,4,72.563368779047,99,115
04/11/2019,21900092,NOP,10,64.01541799635001,BKN,16,74.28787448526155,125,135
04/11/2019,21900093,HOU,28,67.11216297865707,MEM,24,76.88531242671819,107,100
04/11/2019,21900094,MIL,6,73.42037428265223,MIN,19,73.8313778938815,134,106
04/11/2019,21900095,PHI,15,71.08515443175374,PHX,7,73.10777751310908,109,114
04/11/2019,21900096,POR,2,77.22528492784927,GSW,1,85.10087095120355,118,127
05/11/2019,21900097,IND,22,74.11715550732261,CHA,17,72.33178577833694,120,122
05/11/2019,21900098,BOS,9,80.30305223970615,CLE,14,74.99837008852089,119,113
05/11/2019,21900099,SAS,20,73.60057038007066,ATL,12,74.17567747459759,100,108
05/11/2019,21900100,LAL,27,82.80526052679225,CHI,11,73.89649615338385,118,112
05/11/2019,21900101,ORL,30,67.97746133386337,OKC,29,68.15407604998519,94,102
05/11/2019,21900102,MIA,25,79.33189962393347,DEN,3,66.69289636052375,89,109
06/11/2019,21900103,NYK,8,66.01210684639145,DET,23,73.04395749103556,102,122
06/11/2019,21900104,WAS,4,72.563368779047,IND,22,74.11715550732261,106,121
06/11/2019,21900105,CHI,11,73.89649615338385,ATL,12,74.17567747459759,113,93
06/11/2019,21900106,SAC,13,79.2718914478331,TOR,26,73.80696635550319,120,124
06/11/2019,21900107,GSW,1,85.10087095120355,HOU,28,67.11216297865707,112,129
06/11/2019,21900108,MIN,19,73.8313778938815,MEM,24,76.88531242671819,121,137
06/11/2019,21900109,ORL,30,67.97746133386337,DAL,5,69.96559522091194,106,107
06/11/2019,21900110,PHI,15,71.08515443175374,UTA,18,75.41477963510411,104,106
06/11/2019,21900111,MIL,6,73.42037428265223,LAC,21,77.63737654160774,129,124
07/11/2019,21900112,BOS,9,80.30305223970615,CHA,17,72.33178577833694,108,87
07/11/2019,21900113,OKC,29,68.15407604998519,SAS,20,73.60057038007066,112,121
07/11/2019,21900114,MIA,25,79.33189962393347,PHX,7,73.10777751310908,124,108
07/11/2019,21900115,POR,2,77.22528492784927,LAC,21,77.63737654160774,101,107
